id,canonicalNameAr,canonicalNameEn,brand,category,subcategory,dimensions,styleTags,roomTags,budgetTier,qualityScore,offerIds
prd_9ad49c7ef5d810dba135,كنبة KIVIK ثلاثية المقاعد مع شيزلونج,KIVIK 3-seat sofa with chaise longue,IKEA,sofas,chaise-sofa,"{""widthCm"":null,""depthCm"":null,""heightCm"":null,""lengthCm"":null,""diameterCm"":null,""weightKg"":null}",modern|sectional|black|leather,,luxury,80,off_4fe6f74596cac295dcfe
prd_2f2711bfc0d15ac914aa,كرسي EKENÄSET بذراعين,EKENÄSET Armchair,IKEA,armchairs,armchair,"{""widthCm"":null,""depthCm"":null,""heightCm"":null,""lengthCm"":null,""diameterCm"":null,""weightKg"":null}",retro|scandinavian|light-beige,,balanced,80,off_f5b75411b86f68120b80
prd_cdf3b6712a3327724f7b,كرسي SÖDERHAMN بذراعين,SÖDERHAMN Armchair,IKEA,armchairs,armchair,"{""widthCm"":null,""depthCm"":null,""heightCm"":null,""lengthCm"":null,""diameterCm"":null,""weightKg"":null}",modern|beige|low-profile,,balanced,80,off_f6f6e32481b15b28229e
prd_6f23d20d2c4f9505b199,كرسي BONDHOLMEN خارجي,BONDHOLMEN Outdoor armchair,IKEA,outdoor-seating,outdoor-armchair,"{""widthCm"":null,""depthCm"":null,""heightCm"":null,""lengthCm"":null,""diameterCm"":null,""weightKg"":null}",outdoor|traditional|white|beige,,balanced,80,off_cb1006b965c3aff7c315
prd_bdcba1f700b94e0ad1b4,طاولة قهوة LACK بيضاء,LACK Coffee table white,IKEA,coffee-tables,rectangular-coffee-table,"{""widthCm"":null,""depthCm"":null,""heightCm"":null,""lengthCm"":null,""diameterCm"":null,""weightKg"":null}",minimal|white|budget,,economic,80,off_89c98b27306326d9b6f4
prd_427602ceddba9436e96d,طاولة قهوة LACK بني-أسود,LACK Coffee table black-brown,IKEA,coffee-tables,rectangular-coffee-table,"{""widthCm"":null,""depthCm"":null,""heightCm"":null,""lengthCm"":null,""diameterCm"":null,""weightKg"":null}",minimal|dark-wood|budget,,economic,80,off_42626cb988f5044eb915
prd_eb5b94dafbc63384e6b9,طاولة قهوة HOLMERUD تأثير بلوط,HOLMERUD Coffee table oak effect,IKEA,coffee-tables,rectangular-coffee-table,"{""widthCm"":null,""depthCm"":null,""heightCm"":null,""lengthCm"":null,""diameterCm"":null,""weightKg"":null}",modern|oak|storage,,economic,80,off_f79149b848e577c55cf9
prd_5352938133f935826b01,مصباح أرضي مقوس SKOTTORP / SKAFTET,SKOTTORP / SKAFTET Floor lamp arched,IKEA,lighting,floor-lamp,"{""widthCm"":null,""depthCm"":null,""heightCm"":null,""lengthCm"":null,""diameterCm"":null,""weightKg"":null}",modern|arched|light-grey,,balanced,80,off_a83ff8c0081444175c39
prd_753f2bbe6d486bfb6389,مصباح سقف KÄRRNOCKA أبيض,KÄRRNOCKA Ceiling lamp white,IKEA,lighting,ceiling-lamp,"{""widthCm"":null,""depthCm"":null,""heightCm"":null,""lengthCm"":null,""diameterCm"":null,""weightKg"":null}",minimal|white|ceiling,,economic,80,off_19451968231dd071cddf
prd_bb35819f385b7c6ab060,مصباح طاولة BLÅSVERK بيج,BLÅSVERK Table lamp beige,IKEA,lighting,table-lamp,"{""widthCm"":null,""depthCm"":null,""heightCm"":null,""lengthCm"":null,""diameterCm"":null,""weightKg"":null}",retro|beige|table-lamp,,economic,80,off_3caeb37ab2fb927aa464
prd_81965580fec9b55e69dc,مصباح سقف NÖSUND من البتولا,NÖSUND Ceiling lamp birch,IKEA,lighting,ceiling-lamp,"{""widthCm"":null,""depthCm"":null,""heightCm"":null,""lengthCm"":null,""diameterCm"":null,""weightKg"":null}",natural|birch|scandinavian,,balanced,80,off_90f4a45d5c72bad180e7
prd_0f909f32f495243eeb27,قاعدة مصباح طاولة STRÅLA بيضاء,STRÅLA Table lamp base white,IKEA,lighting,table-lamp-base,"{""widthCm"":null,""depthCm"":null,""heightCm"":null,""lengthCm"":null,""diameterCm"":null,""weightKg"":null}",white|decorative|table-lamp,,economic,80,off_b7a9fb9632773bfac331
prd_08620384cc62eda181cb,مصباح أرضي VIDJA أبيض,VIDJA Floor lamp white,IKEA,lighting,floor-lamp,"{""widthCm"":null,""depthCm"":null,""heightCm"":null,""lengthCm"":null,""diameterCm"":null,""weightKg"":null}",white|ambient|floor-lamp,,economic,80,off_00d0c9076786eafb1e00
prd_f808e7046ab7506f1180,مصباح أرضي HEKTAR رمادي داكن,HEKTAR Floor lamp dark grey,IKEA,lighting,floor-lamp,"{""widthCm"":null,""depthCm"":null,""heightCm"":null,""lengthCm"":null,""diameterCm"":null,""weightKg"":null}",industrial|dark-grey|adjustable,,balanced,56,off_c32315b6c845ad8ccc47
prd_8605d48cbcdf8f1cf72f,ستائر شفافة ALVINE SPETS زوج,"ALVINE SPETS Net curtains, pair",IKEA,curtains,sheer-curtains,"{""widthCm"":null,""depthCm"":null,""heightCm"":null,""lengthCm"":null,""diameterCm"":null,""weightKg"":null}",sheer|off-white|classic,,economic,80,off_ced3e7cb76c279aae96e
prd_56c607b5e96c063f43e4,سرير BRIMNES مع تخزين ولوح رأس,BRIMNES Bed frame with storage and headboard,IKEA,bedroom,bed-frame-storage,"{""widthCm"":null,""depthCm"":null,""heightCm"":null,""lengthCm"":null,""diameterCm"":null,""weightKg"":null}",modern|white|storage,,balanced,80,off_08f01f8bdaeeb8088fa7
prd_18a3d11bcb3f46859bf2,سرير VIHALS أبيض,VIHALS Bed frame white,IKEA,bedroom,bed-frame,"{""widthCm"":null,""depthCm"":null,""heightCm"":null,""lengthCm"":null,""diameterCm"":null,""weightKg"":null}",minimal|white|budget,,economic,68,off_2abb9c16dc41150560d7
prd_c984b7117d3c5acd3887,سرير MALM مرتفع أبيض,MALM Bed frame high white,IKEA,bedroom,bed-frame,"{""widthCm"":null,""depthCm"":null,""heightCm"":null,""lengthCm"":null,""diameterCm"":null,""weightKg"":null}",minimal|white|modern,,balanced,68,off_77a1bca2924b3d72a738
prd_51c30457af22d2c86df4,سرير MALM كينغ مرتفع أبيض,MALM King bed frame high white,IKEA,bedroom,king-bed-frame,"{""widthCm"":null,""depthCm"":null,""heightCm"":null,""lengthCm"":null,""diameterCm"":null,""weightKg"":null}",minimal|white|modern,,balanced,68,off_1e76ccd97b6223695ab2
prd_a61b21186716a7a6346a,سرير TARVA من الصنوبر,TARVA Bed frame pine,IKEA,bedroom,bed-frame,"{""widthCm"":null,""depthCm"":null,""heightCm"":null,""lengthCm"":null,""diameterCm"":null,""weightKg"":null}",natural|pine|scandinavian,,economic,68,off_bbb0873deae3e36f48ac
prd_64836ab4873bbc40c123,سرير STJÄRNÖ أبيض,STJÄRNÖ Bed frame white,IKEA,bedroom,bed-frame,"{""widthCm"":null,""depthCm"":null,""heightCm"":null,""lengthCm"":null,""diameterCm"":null,""weightKg"":null}",white|metal|classic,,balanced,68,off_b21bd456c1fede5c0a21
prd_6b895a4600d0cccc7ebb,كومودينة BJÖRKSNÄS من البتولا,BJÖRKSNÄS Bedside table birch,IKEA,bedroom,bedside-table,"{""widthCm"":null,""depthCm"":null,""heightCm"":null,""lengthCm"":null,""diameterCm"":null,""weightKg"":null}",natural|birch|scandinavian,,balanced,68,off_b5d1ef78c9524d009c9e
prd_b4612a60dfc4ba37c674,كومودينة GRÅFJÄLLET بيضاء,GRÅFJÄLLET Bedside table white,IKEA,bedroom,bedside-table,"{""widthCm"":null,""depthCm"":null,""heightCm"":null,""lengthCm"":null,""diameterCm"":null,""weightKg"":null}",minimal|white|metal,,economic,68,off_b97541383918f5d35b34
prd_2fa825467e789ed229b5,كومودينة KNARREVIK سوداء,KNARREVIK Bedside table black,IKEA,bedroom,bedside-table,"{""widthCm"":null,""depthCm"":null,""heightCm"":null,""lengthCm"":null,""diameterCm"":null,""weightKg"":null}",minimal|black|metal,,economic,68,off_851ff2f2ef7ad4876b70
prd_56531f7dfa39f541e3b4,دولاب NORDKISA مفتوح بباب سحاب,NORDKISA Open wardrobe with sliding door,IKEA,storage,wardrobe,"{""widthCm"":null,""depthCm"":null,""heightCm"":null,""lengthCm"":null,""diameterCm"":null,""weightKg"":null}",bamboo|natural|open-storage,,balanced,80,off_ca86998b12f3805b384b
