merchant,brand,name_ar,name_en,category,sku,product_url,quality_score,issues,price_sar_TO_FILL,width_cm_TO_FILL,depth_cm_TO_FILL,height_cm_TO_FILL,availability_TO_FILL
IKEA Saudi Arabia,IKEA,مصباح أرضي HEKTAR رمادي داكن,HEKTAR Floor lamp dark grey,lighting,602.165.49,https://www.ikea.com/sa/en/p/hektar-floor-lamp-dark-grey-60216549/,56,missing_price|unknown_availability|missing_dimensions,,,,,
IKEA Saudi Arabia,IKEA,سرير VIHALS أبيض,VIHALS Bed frame white,bedroom,206.024.39,https://www.ikea.com/sa/en/p/vihals-bed-frame-white-20602439/,68,unknown_availability|missing_dimensions,495,,,,
IKEA Saudi Arabia,IKEA,سرير MALM مرتفع أبيض,MALM Bed frame high white,bedroom,S099.293.73,https://www.ikea.com/sa/en/p/malm-bed-frame-high-white-s09929373/,68,unknown_availability|missing_dimensions,829,,,,
IKEA Saudi Arabia,IKEA,سرير MALM كينغ مرتفع أبيض,MALM King bed frame high white,bedroom,S299.316.00,https://www.ikea.com/sa/en/p/malm-bed-frame-high-white-s29931600/,68,unknown_availability|missing_dimensions,929,,,,
IKEA Saudi Arabia,IKEA,سرير TARVA من الصنوبر,TARVA Bed frame pine,bedroom,S699.292.33,https://www.ikea.com/sa/en/p/tarva-bed-frame-pine-s69929233/,68,unknown_availability|missing_dimensions,625,,,,
IKEA Saudi Arabia,IKEA,سرير STJÄRNÖ أبيض,STJÄRNÖ Bed frame white,bedroom,105.794.96,https://www.ikea.com/sa/en/p/stjaernoe-bed-frame-white-10579496/,68,unknown_availability|missing_dimensions,795,,,,
IKEA Saudi Arabia,IKEA,كومودينة BJÖRKSNÄS من البتولا,BJÖRKSNÄS Bedside table birch,bedroom,704.073.60,https://www.ikea.com/sa/en/p/bjoerksnaes-bedside-table-birch-70407360/,68,unknown_availability|missing_dimensions,439,,,,
IKEA Saudi Arabia,IKEA,كومودينة GRÅFJÄLLET بيضاء,GRÅFJÄLLET Bedside table white,bedroom,005.831.06,https://www.ikea.com/sa/en/p/grafjaellet-bedside-table-white-00583106/,68,unknown_availability|missing_dimensions,179,,,,
IKEA Saudi Arabia,IKEA,كومودينة KNARREVIK سوداء,KNARREVIK Bedside table black,bedroom,205.699.77,https://www.ikea.com/sa/en/p/knarrevik-bedside-table-black-20569977/,68,unknown_availability|missing_dimensions,69,,,,
IKEA Saudi Arabia,IKEA,دولاب PLATSA بثلاثة أبواب و6 أدراج,PLATSA Wardrobe with 3 doors and 6 drawers,storage,S396.251.05,https://www.ikea.com/sa/en/p/platsa-wardrobe-with-3-doors-6-drawers-white-fonnes-white-s39625105/,68,unknown_availability|missing_dimensions,3115,,,,
