id,store,brand,sku,name_ar,name_en,category,subcategory,price_sar,previous_price_sar,availability,dimensions,style_tags,room_tags,tier,product_url,source_checked_at,needs_live_recheck
ikea-sa-40337694,IKEA Saudi Arabia,IKEA,403.376.94,وحدة تلفزيون BRIMNES بيضاء,BRIMNES TV bench white,tv-media,tv-bench,399,499,available,120×41×53 سم,white|storage|modern,living-room|majlis,economic,https://www.ikea.com/sa/en/p/brimnes-tv-bench-white-40337694/,2026-07-16,True
ikea-sa-00450088,IKEA Saudi Arabia,IKEA,004.500.88,وحدة تلفزيون LACK بيضاء,LACK TV bench white,tv-media,tv-bench,99,,available,90×26×45 سم,white|minimal|budget,living-room|bedroom,economic,https://www.ikea.com/sa/en/p/lack-tv-bench-white-00450088/,2026-07-16,True
ikea-sa-30269129,IKEA Saudi Arabia,IKEA,302.691.29,وحدة تلفزيون BESTÅ BURS أبيض لامع,BESTÅ BURS TV bench high-gloss white,tv-media,tv-bench,995,1295,available,180×41×49 سم,white|high-gloss|modern,living-room|majlis,balanced,https://www.ikea.com/sa/en/p/besta-burs-tv-bench-high-gloss-white-30269129/,2026-07-16,True
ikea-sa-80227797,IKEA Saudi Arabia,IKEA,802.277.97,وحدة تلفزيون BYÅS أبيض لامع,BYÅS TV bench high-gloss white,tv-media,tv-bench,479,599,available,160×42×45 سم,white|high-gloss|storage,living-room,economic,https://www.ikea.com/sa/en/p/byas-tv-bench-high-gloss-white-80227797/,2026-07-16,True
ikea-sa-80542857,IKEA Saudi Arabia,IKEA,805.428.57,وحدة تلفزيون VIHALS بيضاء,VIHALS TV bench white,tv-media,tv-bench,,,unknown,176.3×37×50 سم,white|modern|drawers,living-room|majlis,balanced,https://www.ikea.com/sa/en/p/vihals-tv-bench-white-80542857/,2026-07-16,True
ikea-sa-00543672,IKEA Saudi Arabia,IKEA,005.436.72,وحدة تلفزيون VIHALS رمادي داكن,VIHALS TV bench dark grey,tv-media,tv-bench,499,,unknown,146×37×50 سم,dark-grey|modern|drawers,living-room,balanced,https://www.ikea.com/sa/en/p/vihals-tv-bench-dark-grey-00543672/,2026-07-16,True
ikea-sa-s29597377,IKEA Saudi Arabia,IKEA,S295.973.77,وحدة تلفزيون BESTÅ بأبواب بيضاء,BESTÅ TV bench with doors white,tv-media,tv-bench-with-doors,1140,,unknown,120×42×74 سم,white|closed-storage|modern,living-room|majlis,balanced,https://www.ikea.com/sa/en/p/besta-tv-bench-with-doors-white-foervaltare-white-s29597377/,2026-07-16,True
ikea-sa-70562087,IKEA Saudi Arabia,IKEA,705.620.87,وحدة تلفزيون KALLAX بيضاء,KALLAX TV bench white,tv-media,tv-bench,399,499,available,147×60 سم,white|open-storage|modular,living-room|bedroom,economic,https://www.ikea.com/sa/en/p/kallax-tv-bench-white-70562087/,2026-07-16,True
ikea-sa-s99521157,IKEA Saudi Arabia,IKEA,S995.211.57,تشكيلة تلفزيون وتخزين VIHALS بيضاء,VIHALS TV/storage combination white,tv-media,tv-storage-combination,,,unknown,275×47×90 سم,white|modular|storage,living-room|majlis,luxury,https://www.ikea.com/sa/en/p/vihals-tv-storage-combination-white-s99521157/,2026-07-16,True
ikea-sa-s49521112,IKEA Saudi Arabia,IKEA,S495.211.12,تشكيلة تلفزيون وتخزين VIHALS بيضاء,VIHALS TV/storage combination white,tv-media,tv-storage-combination,,,unknown,275×37×140 سم,white|modular|storage,living-room,luxury,https://www.ikea.com/sa/en/p/vihals-tv-storage-combination-white-s49521112/,2026-07-16,True
ikea-sa-s99440613,IKEA Saudi Arabia,IKEA,S994.406.13,تشكيلة تلفزيون وتخزين VIHALS بيضاء,VIHALS TV/storage combination white,tv-media,tv-storage-combination,,,unknown,251×37×140 سم,white|modular|storage,living-room,luxury,https://www.ikea.com/sa/en/p/vihals-tv-storage-combination-white-s99440613/,2026-07-16,True
ikea-sa-s09521072,IKEA Saudi Arabia,IKEA,S095.210.72,تشكيلة تلفزيون وتخزين VIHALS رمادي داكن,VIHALS TV/storage combination dark grey,tv-media,tv-storage-combination,1098,,unknown,242×37×90 سم,dark-grey|modular|storage,living-room,balanced,https://www.ikea.com/sa/en/p/vihals-tv-storage-combination-dark-grey-s09521072/,2026-07-16,True
ikea-sa-s89521073,IKEA Saudi Arabia,IKEA,S895.210.73,تشكيلة تلفزيون وتخزين VIHALS رمادي داكن,VIHALS TV/storage combination dark grey,tv-media,tv-storage-combination,1897,2097,unknown,337×37×200 سم,dark-grey|large-storage|modern,living-room|majlis,luxury,https://www.ikea.com/sa/en/p/vihals-tv-storage-combination-dark-grey-s89521073/,2026-07-16,True
ikea-sa-s09440679,IKEA Saudi Arabia,IKEA,S094.406.79,تشكيلة تلفزيون وتخزين VIHALS بيضاء,VIHALS TV/storage combination white,tv-media,tv-storage-combination,1797,1897,unknown,337×47×200 سم,white|large-storage|modern,living-room|majlis,luxury,https://www.ikea.com/sa/en/p/vihals-tv-storage-combination-white-s09440679/,2026-07-16,True
ikea-sa-s69521074,IKEA Saudi Arabia,IKEA,S695.210.74,تشكيلة تلفزيون وتخزين VIHALS رمادي داكن,VIHALS TV/storage combination dark grey,tv-media,tv-storage-combination,,,unknown,337×47×200 سم,dark-grey|large-storage|modern,living-room,luxury,https://www.ikea.com/sa/en/p/vihals-tv-storage-combination-dark-grey-s69521074/,2026-07-16,True
ikea-sa-s59440610,IKEA Saudi Arabia,IKEA,S594.406.10,تشكيلة تلفزيون وتخزين VIHALS بيضاء,VIHALS TV/storage combination white,tv-media,tv-storage-combination,1897,2097,unknown,337×37×200 سم,white|large-storage|modern,living-room,luxury,https://www.ikea.com/sa/en/p/vihals-tv-storage-combination-white-s59440610/,2026-07-16,True
ikea-sa-20293766,IKEA Saudi Arabia,IKEA,202.937.66,طاولة طعام MÖRBYLÅNGA,MÖRBYLÅNGA Table oak veneer brown stained,dining,dining-table,3195,3995,available,220×100 سم,oak|brown|solid-wood,dining-room|majlis,luxury,https://www.ikea.com/sa/en/p/moerbylanga-table-oak-veneer-brown-stained-20293766/,2026-07-16,True
ikea-sa-s99578511,IKEA Saudi Arabia,IKEA,S995.785.11,طاولة VIHALS أخضر/أبيض,VIHALS Table green/white,dining,dining-table,304,,unknown,125×74 سم,green|white|minimal,dining-room|kitchen,economic,https://www.ikea.com/sa/en/p/vihals-table-green-white-s99578511/,2026-07-16,True
ikea-sa-70576720,IKEA Saudi Arabia,IKEA,705.767.20,طاولة HAUGA رمادي/قشرة بتولا,HAUGA Table grey/birch veneer,dining,dining-table,,,unknown,74×74 سم,grey|birch|traditional,dining-room|kitchen,economic,https://www.ikea.com/sa/en/p/hauga-table-grey-birch-veneer-70576720/,2026-07-16,True
ikea-sa-90576719,IKEA Saudi Arabia,IKEA,905.767.19,طاولة HAUGA أبيض/قشرة بتولا,HAUGA Table white/birch veneer,dining,dining-table,449,,available,74×74 سم,white|birch|traditional,dining-room|kitchen,economic,https://www.ikea.com/sa/en/p/hauga-table-white-birch-veneer-90576719/,2026-07-16,True
ikea-sa-s79579984,IKEA Saudi Arabia,IKEA,S795.799.84,طاولة STOCKHOLM 2025 قشرة بلوط,STOCKHOLM 2025 Table oak veneer,dining,dining-table,2995,,available,230×90 سم,oak|premium|oval,dining-room|majlis,luxury,https://www.ikea.com/sa/en/p/stockholm-2025-table-oak-veneer-oak-veneer-s79579984/,2026-07-16,True
ikea-sa-10590125,IKEA Saudi Arabia,IKEA,105.901.25,سطح طاولة STOCKHOLM 2025 قشرة بلوط,STOCKHOLM 2025 Table top oak veneer,dining,table-top,2395,,unknown,230×90 سم,oak|premium|table-top,dining-room,luxury,https://www.ikea.com/sa/en/p/stockholm-2025-table-top-oak-veneer-10590125/,2026-07-16,True
ikea-sa-s99574853,IKEA Saudi Arabia,IKEA,S995.748.53,طاولة HAUGA مع كرسيين أبيض,HAUGA / HAUGA Table and 2 chairs white,dining,dining-set,,,unknown,74×74 سم,white|compact|2-seat,dining-room|kitchen,balanced,https://www.ikea.com/sa/en/p/hauga-hauga-table-and-2-chairs-white-white-s99574853/,2026-07-16,True
