product_id,batch_id,name,brand,category,subcategory,retailer,market,article_number,price,currency,dimensions,availability,official_url,verified_on
BAYTI-0277,BATCH-11,EVANS 8 Seater Dining Table Travertine - Beige & Dark Brown,Pan Home,Dining room,Dining table,Pan Home Saudi Arabia,Saudi Arabia,023GPF1000004,,,,,https://www.panhomestores.com/ksa_en/evans-8-seater-dining-table-travertine-beige-dark-brown-023gpf1000004-parent,2026-07-16
BAYTI-0278,BATCH-11,ELYA 4 Seater Dining Table Marble - White,Pan Home,Dining room,Dining table,Pan Home Saudi Arabia,Saudi Arabia,023VCN0800050,,,,,https://www.panhomestores.com/ksa_en/elya-4-seater-dining-table-marble-white-023vcn0800050-parent,2026-07-16
BAYTI-0279,BATCH-11,SOVANTI 8-Seater Dining Table - Beige,Pan Home,Dining room,Dining table,Pan Home Saudi Arabia,Saudi Arabia,023AAM1000103,,,,,https://www.panhomestores.com/ksa_en/sovanti-8-seater-dining-table-beige-023aam1000103-parent,2026-07-16
BAYTI-0280,BATCH-11,ORAYA 8-Seater Dining Table - Dark Brown & Beige,Pan Home,Dining room,Dining table,Pan Home Saudi Arabia,Saudi Arabia,023DAT7000017,,,,,https://www.panhomestores.com/ksa_en/oraya-8-seater-dining-table-dark-brown-beige-023dat7000017,2026-07-16
BAYTI-0281,BATCH-11,EDRON 8 Seater Dining Table Marble - White & Beige,Pan Home,Dining room,Dining table,Pan Home Saudi Arabia,Saudi Arabia,023AAM0800028,,,,,https://www.panhomestores.com/ksa_en/edron-8-seater-dining-table-marble-white-beige-023aam0800028,2026-07-16
BAYTI-0282,BATCH-11,HARPER 8 Seater Dining Table Wood - Brown,Pan Home,Dining room,Dining table,Pan Home Saudi Arabia,Saudi Arabia,023JTI1900085,,,,,https://www.panhomestores.com/ksa_en/harper-8-seater-dining-table-wood-brown-023jti1900085-parent,2026-07-16
BAYTI-0283,BATCH-11,STYLEE 8 Seater Dining Table Marble - Light Brown & Dark Brown,Pan Home,Dining room,Dining table,Pan Home Saudi Arabia,Saudi Arabia,023THT0800048,,,,,https://www.panhomestores.com/ksa_en/stylee-8-seater-dining-table-marble-light-brown-dark-brown-023tht0800048,2026-07-16
BAYTI-0284,BATCH-11,EVONNE 8 Seater Dining Table Marble - White Black,Pan Home,Dining room,Dining table,Pan Home Saudi Arabia,Saudi Arabia,023AOF0800005,,,,,https://www.panhomestores.com/ksa_en/evonne-8-seater-dining-table-marble-white-black-023aof0800005,2026-07-16
BAYTI-0285,BATCH-11,TIAMO 8 Seater Dining Table Oval Veneer - Dark Brown,Pan Home,Dining room,Dining table,Pan Home Saudi Arabia,Saudi Arabia,023LNJ3000023,,,,,https://www.panhomestores.com/ksa_en/tiamo-8-seater-dining-table-oval-veneer-dark-brown-023lnj3000023,2026-07-16
BAYTI-0286,BATCH-11,SICILY 6 Seater Dining Table Round Marble - Beige Brown,Pan Home,Dining room,Dining table,Pan Home Saudi Arabia,Saudi Arabia,023DFG1000005,,,,,https://www.panhomestores.com/ksa_en/sicily-6-seater-dining-table-round-marble-beige-brown-023dfg1000005-parent,2026-07-16
